prompt_number,prompt_image,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,rumination_loop.thisRepN,rumination_loop.thisTrialN,rumination_loop.thisN,rumination_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_rum_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,wait4trigger_text.stopped,wait4trigger_scanner.stopped,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,rumination.started,image_rum.started,rumination.stopped,emotion_instruct.started,image_emotion_instruct.started,key_resp_emotion_instruct.started,emotion_instruct.stopped,key_resp_emotion_instruct.keys,key_resp_emotion_instruct.rt,key_resp_emotion_instruct.duration,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0,0,0,是关于过去的事情,1,None,None,l,1.0428471249999802,None,,,,,0,0,0,0,36.392982416999985,,,,,,,,,37.44130500000006,37.44818337499987,37.745066124999994,37.73286512499999,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,36.37929145899989,36.392982416999985,36.392982416999985,36.392982416999985,36.392982416999985,37.44126849999998,None,None,l,1.0428471249999802,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,1,1,0,是关于将来的事情,2,None,None,l,0.7555135830000381,None,,,,,0,1,1,1,37.745066124999994,,,,,,,,,38.50783887500006,38.51489958399998,38.81235612499995,38.799666375000015,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,37.736427667000044,37.745066124999994,37.745066124999994,37.745066124999994,37.745066124999994,38.50780325000005,None,None,l,0.7555135830000381,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,2,2,0,是关于我自己的,3,None,None,l,0.6185810839999704,None,,,,,0,2,2,2,38.81235612499995,,,,,,,,,39.433220166999945,39.43681487499998,39.73571683399996,39.72092958400003,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,38.803649167,38.81235612499995,38.81235612499995,38.81235612499995,38.81235612499995,39.43318287500006,None,None,l,0.6185810839999704,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,3,3,0,是关于他人的,4,None,None,l,0.6108069160000014,None,,,,,0,3,3,3,39.73571683399996,,,,,,,,,40.34998391699992,40.353663624999854,40.65283383399992,40.637768584000014,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,39.72438516700004,39.73571683399996,39.73571683399996,39.73571683399996,39.73571683399996,40.3499395419999,None,None,l,0.6108069160000014,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,4,4,0,是正性的、积极的事件,5,None,None,k,0.5341282909998881,None,,,,,0,4,4,4,40.65283383399992,,,,,,,,,41.19044574999998,41.19847516699997,41.49610787500001,41.483268209000016,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,40.642656834000036,40.65283383399992,40.65283383399992,40.65283383399992,40.65283383399992,41.19040975000007,None,None,k,0.5341282909998881,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,5,5,0,是负性的、消极的事件,6,None,None,l,0.04818375000013475,None,,,,,0,5,5,5,41.49610787500001,,,,,,,,,41.55144966700004,41.55300962499996,41.85434908399998,41.83779291699989,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,41.48726416699992,41.49610787500001,41.49610787500001,41.49610787500001,41.49610787500001,41.55141554199986,None,None,l,0.04818375000013475,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,6,6,0,是以图像或意象的形式进行思维,7,None,None,k,0.4270504169999185,None,,,,,0,6,6,6,41.85434908399998,,,,,,,,,42.28348154199989,42.28652891699994,42.581475125,42.570141624999906,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,41.844553874999974,41.85434908399998,41.85434908399998,41.85434908399998,41.85434908399998,42.283447125000066,None,None,k,0.4270504169999185,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,7,7,0,是以内部言语的形式进行思维,8,None,None,k,0.19503779199999371,None,,,,,0,7,7,7,42.581475125,,,,,,,,,42.784923209,42.78635299999996,43.08534220899992,43.070407499999874,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,42.573783291999916,42.581475125,42.581475125,42.581475125,42.581475125,42.78488674999994,None,None,k,0.19503779199999371,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,8,8,0,让我感到开心,9,None,None,k,0.05161841599988293,None,,,,,0,8,8,8,43.08534220899992,,,,,,,,,43.144299542,43.14852599999995,43.44629704199997,43.433476417000065,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,43.07476312499989,43.08534220899992,43.08534220899992,43.08534220899992,43.08534220899992,43.14426612500006,None,None,k,0.05161841599988293,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,9,9,0,让我感到悲伤,10,None,None,k,0.04944233400010489,None,,,,,0,9,9,9,43.44629704199997,,,,,,,,,43.503227458999845,43.504920916999936,43.81494804199997,43.80011262499988,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,43.437265416999935,43.44629704199997,43.44629704199997,43.44629704199997,43.44629704199997,43.50319258399986,None,None,k,0.04944233400010489,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,10,10,0,有多少是在“走神”,11,None,None,k,0.1032214169999861,None,,,,,0,10,10,10,43.81494804199997,,,,,,,,,43.92718274999993,43.93190612500007,44.220293542000036,44.21678625000004,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,43.80600983399995,43.81494804199997,43.81494804199997,43.81494804199997,43.81494804199997,43.92714187499996,None,None,k,0.1032214169999861,None,,,,,,,,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.21687008399999,44.220293542000036,44.220293542000036,45.05095812499985,s,0.8200553330000275,None,999,001,2025-06-16_16h27.06.437,rumination_demo,2024.2.4,None,2025-06-16 16h27.14.434142 +0800,
