event_number,keyword1,keyword2,keyword3,keyword4,thisN,thisTrialN,thisRepN,item,number,slider_thinking_content.response,slider_thinking_content.rt,key_resp_thinking_content.keys,key_resp_thinking_content.rt,key_resp_thinking_content.duration,sad_memory_loop.thisRepN,sad_memory_loop.thisTrialN,sad_memory_loop.thisN,sad_memory_loop.thisIndex,think_content_loop.thisRepN,think_content_loop.thisTrialN,think_content_loop.thisN,think_content_loop.thisIndex,thisRow.t,notes,welcome_screen.started,image_sad_memo_instruct.started,key_resp_welcome.started,welcome_screen.stopped,key_resp_welcome.keys,key_resp_welcome.rt,key_resp_welcome.duration,refresh.started,text_refresh.started,text_refresh.stopped,refresh.stopped,wait4trigger_scanner.started,wait4trigger_text.started,scanner_trigger.started,wait4trigger_scanner.stopped,scanner_trigger.keys,scanner_trigger.rt,scanner_trigger.duration,fake_stimulus.started,fake_stimulus_text.started,fake_stimulus_text.stopped,fake_stimulus.stopped,sad_memory.started,background.started,background.stopped,sad_memory.stopped,emotion_instruct.started,image_emotion_instruct.started,key_resp_emotion_instrct.started,emotion_instruct.stopped,key_resp_emotion_instrct.keys,key_resp_emotion_instrct.rt,key_resp_emotion_instrct.duration,emotional_level.started,rate_emotion_prompt.started,slider_emotion.started,key_resp_emotion.started,emotional_level.stopped,slider_emotion.response,slider_emotion.rt,Rating,key_resp_emotion.keys,key_resp_emotion.rt,key_resp_emotion.duration,think_content_instruct.started,image_think_content_instruct.started,key_resp_think_content_instruct.started,think_content_instruct.stopped,key_resp_think_content_instruct.keys,key_resp_think_content_instruct.rt,key_resp_think_content_instruct.duration,think_content.started,main_body_questionnaire.started,item_text.started,slider_thinking_content.started,key_resp_thinking_content.started,think_content.stopped,think_content_loop.slider_thinking_content.response,think_content_loop.slider_thinking_content.rt,think_content_loop.key_resp_thinking_content.keys,think_content_loop.key_resp_thinking_content.rt,think_content_loop.key_resp_thinking_content.duration,goodbye.started,goodbye_text.started,key_resp_goodbye.started,goodbye.stopped,key_resp_goodbye.keys,key_resp_goodbye.rt,key_resp_goodbye.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.26422824999827,23.27433316599854,23.574243415998353,23.55851249999978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.559555415999057,23.574243415998353,23.574243415998353,23.574243415998353,26.842009832998883,None,None,2.0,3,3.2593447920007748,None,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.84203845799857,26.84351341599904,27.141007332997106,27.128744665998966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.128763916000025,27.141007332997106,27.141007332997106,28.010200040997006,4,0.8610370839996904,None,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.010253041000396,28.014303874999314,28.332685665998724,28.30917754099937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,0,0,0,是关于过去的事情,1,None,None,a,3.5842753749966505,None,,,,,0,0,0,0,28.332685665998724,,,,,,,,,31.92559820799943,31.927052125000046,32.2277917499996,32.21236562499689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,28.319012332998682,28.332685665998724,28.332685665998724,28.332685665998724,28.332685665998724,31.92555804099902,None,None,a,3.5842753749966505,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,1,1,0,是关于将来的事情,2,None,None,a,0.9799489170000015,None,,,,,0,1,1,1,32.2277917499996,,,,,,,,,33.20887599999696,33.21021904099689,33.51096716599932,33.49542337499952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,32.21600220799883,32.2277917499996,32.2277917499996,32.2277917499996,32.2277917499996,33.2088399159984,None,None,a,0.9799489170000015,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,2,2,0,是关于我自己的,3,None,None,a,0.46136425000076997,None,,,,,0,2,2,2,33.51096716599932,,,,,,,,,33.97618849999708,33.97777833299915,34.277091790998384,34.26412437500039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,33.499381790999905,33.51096716599932,33.51096716599932,33.51096716599932,33.51096716599932,33.97615216600025,None,None,a,0.46136425000076997,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,3,3,0,是关于他人的,4,None,None,a,0.41738154199993005,None,,,,,0,3,3,3,34.277091790998384,,,,,,,,,34.70141133299694,34.707813082997745,35.00643729099829,34.99272808299793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,34.2676724999983,34.277091790998384,34.277091790998384,34.277091790998384,34.277091790998384,34.70137529099884,None,None,a,0.41738154199993005,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,4,4,0,是正性的、积极的事件,5,None,None,a,0.3162753750002594,None,,,,,0,4,4,4,35.00643729099829,,,,,,,,,35.325839375000214,35.3271153329988,35.62740158299857,35.61307045799913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,34.997299082999234,35.00643729099829,35.00643729099829,35.00643729099829,35.00643729099829,35.32580554099695,None,None,a,0.3162753750002594,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,5,5,0,是负性的、消极的事件,6,None,None,a,0.3262709589980659,None,,,,,0,5,5,5,35.62740158299857,,,,,,,,,35.96179462500004,35.963658582997596,36.262605332998646,36.24741712499963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,35.617440874997556,35.62740158299857,35.62740158299857,35.62740158299857,35.62740158299857,35.96176066599946,None,None,a,0.3262709589980659,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,6,6,0,是以图像或意象的形式进行思维,7,None,None,a,0.2308275830000639,None,,,,,0,6,6,6,36.262605332998646,,,,,,,,,36.50129929099785,36.507899749998614,36.8068371249974,36.79298291599844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,36.25368125000023,36.262605332998646,36.262605332998646,36.262605332998646,36.262605332998646,36.501266040999326,None,None,a,0.2308275830000639,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,7,7,0,是以内部言语的形式进行思维,8,None,None,a,0.016492791997734457,None,,,,,0,7,7,7,36.8068371249974,,,,,,,,,36.84649608299878,36.848777625000366,37.156800790999114,37.143012000000454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,36.79758941599721,36.8068371249974,36.8068371249974,36.8068371249974,36.8068371249974,36.84645666600045,None,None,a,0.016492791997734457,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,8,8,0,让我感到开心,9,None,None,a,0.4451867919997312,None,,,,,0,8,8,8,37.156800790999114,,,,,,,,,37.60924033300034,37.61094266600048,37.91115812499993,37.89678875000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,37.14772124999945,37.156800790999114,37.156800790999114,37.156800790999114,37.156800790999114,37.609207499997865,None,None,a,0.4451867919997312,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,9,9,0,让我感到悲伤,10,None,None,a,0.2758672080017277,None,,,,,0,9,9,9,37.91115812499993,,,,,,,,,38.19476254099936,38.19661020800049,38.497224540999014,38.48103083299793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,37.90100820799853,37.91115812499993,37.91115812499993,37.91115812499993,37.91115812499993,38.1947316659971,None,None,a,0.2758672080017277,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,10,10,0,有多少是在“走神”,11,None,None,a,0.47191333299997495,None,,,,,0,10,10,10,38.497224540999014,,,,,,,,,38.97808195799735,38.97997316599867,39.27514854099718,39.26368612499937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,38.48809154099945,38.497224540999014,38.497224540999014,38.497224540999014,38.497224540999014,38.9780472909988,None,None,a,0.47191333299997495,None,,,,,,,,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.26376362500014,39.27514854099718,39.27514854099718,40.02756208299979,a,0.7420266660010384,None,Sub999,001,2025-06-13_15h59.22.761,sad_memory,2024.2.4,None,2025-06-13 15h59.31.585025 +0800,
